Frame,MediaPipe_Angle,YOLO_Angle,FreiHAND_Angle
70,-128.43730149106256,-130.6012946450045,
71,-130.44623202084136,-131.18592516570965,
72,-133.02506598911802,-127.11686068327027,
73,-133.02506598911802,-127.11686068327027,
74,-135.0,-129.0355128987469,
75,-136.54815769897797,-125.77607771789468,
76,-137.12109639666144,-126.73282666448938,
77,-138.17983011986425,-128.43730149106256,
78,-139.23639479905884,-131.1214754971523,
79,-140.19442890773482,-130.2363583092738,
80,-139.72013693104356,-129.3824194098732,
81,-141.45881637871864,-130.88181029601122,
82,-140.9374160994815,180.0,
83,-141.63251461513846,141.34019174590992,
84,-140.19442890773482,-176.42366562500266,
85,-135.0,168.11134196037204,
86,-136.00508600525419,158.19859051364818,
87,-121.35708522400994,-151.6309537067214,
88,-111.93848046770647,-146.07020257793937,
89,-113.47099311816089,-144.86580694308435,
90,-115.97439396243132,-144.1623470457217,
91,-118.61045966596521,-143.13010235415598,
92,-115.43621638041736,-121.32869286780416,
93,-115.43621638041736,-121.32869286780416,
94,-109.39781244855823,-104.2500326978036,
95,-72.75854060106002,-99.86580694308438,
96,-71.56505117707799,-91.78991060824607,
97,-79.38034472384487,-98.74616226255522,
98,-118.21735585472932,-114.27444113443946,
99,-119.29136217098426,-117.47443162627712,
100,-120.30268072048808,-135.0,
101,-120.30268072048808,-127.77568430595468,
102,-119.57783868126134,-123.99645914825051,
103,-117.699472808055,-118.44292862436335,
104,-118.30075576600638,-115.64100582430528,
105,-119.89890183861456,-124.56252464888182,
106,-119.82708465447475,-125.41705527646745,
107,-121.07903963507925,-151.03233935393598,
108,-118.20162821869471,-153.0041616059134,
109,-114.77514056883193,-149.3813945910906,
110,-112.98871680208065,-148.46520809481171,
111,-111.0923395058275,-139.39870535499554,
112,-140.27389595735178,-162.42874122167757,
113,-140.0424510691709,-133.43064519525103,
114,-140.19442890773482,-134.20427644726072,
115,-139.02826366648515,-136.50743575877496,
116,-137.32153058983272,-133.84654954889464,
117,-132.27368900609375,-128.22043205485005,
118,-132.73949808885874,-128.49104355949743,
119,-131.18592516570965,-126.86989764584402,
120,-130.77776979385732,-125.78897345918334,
121,-130.07938396363602,-126.10745129175186,
122,-126.86989764584402,-121.34958086524301,
123,-126.43085812016236,-122.30041551040263,
124,-125.66500153686178,-119.6044507460049,
125,-125.08347387909274,-119.38901146632034,
126,-125.08347387909274,-119.88652694042405,
127,-123.07067782276167,-117.59729586864374,
128,-122.42755499577248,-117.86700384965687,
129,-121.64465903709257,-117.83808119713471,
130,-121.15930450834438,-118.33913203589589,
131,-121.15930450834438,-118.07248693585296,
132,-120.29644817623846,-118.56583679374658,
133,-116.98789058174849,-115.6768156818382,
134,-115.30137862541973,-116.32829310517087,
135,-110.78824568903032,-110.36160327538616,
136,-92.82712457816127,-99.34467190209969,
137,-94.9392155421262,-104.40002130679105,
138,-110.68408026794681,-111.03751102542182,
139,-89.47914362549805,-89.01223960036019,
140,-85.60129464500447,-97.53944513950931,
141,-82.59308787150478,-96.80905017961341,
142,-82.1082975717643,-100.8230112262071,
143,-81.70285503016314,-100.3663226034505,
144,-80.96051719664487,-71.56505117707799,
145,-82.77568430595467,-71.56505117707799,
146,-83.29016319224307,-93.3664606634298,
147,-84.35945056784317,-100.3663226034505,
148,-84.87180895814716,-106.12757582595981,
149,-85.10090754621224,-99.58294472353258,
150,-85.65676004831062,-106.03994330604968,
151,-85.8150838748816,-103.86102756302115,
152,-85.17923392190735,-102.93805631718647,
153,-85.76360520094116,-101.30993247402021,
154,-85.42607874009914,-100.15426658020027,
155,-86.02750405924934,-96.3401917459099,
156,-85.91438322002513,-93.1221304621157,
157,-85.06078445787381,-98.42696902148067,
158,-85.17923392190735,-101.6893691754392,
159,-85.65676004831062,-94.76364169072617,
160,-84.72610404264823,-80.07375449334829,
161,-87.6784694101673,-55.00797980144134,
162,-86.86364163166742,-9.16234704572171,
163,-84.03551289874689,2.6630007660671433,
164,-77.47119229084849,-2.7263109939062655,
165,-67.98871680208065,1.273030020056711,
166,-62.927919762007235,-3.9909130984297803,
167,-51.170175095029606,-61.606980578617005,
168,-26.965714432870143,-60.64224645720873,
169,-28.123735383288814,-67.9321004375898,
170,-26.952178931228943,-18.034285567129857,
171,-22.50352849976742,-5.403791360249714,
172,-20.224859431168078,-8.343891584033095,
173,-19.259291643767163,-8.901716032891995,
174,-19.259291643767163,-8.901716032891995,
175,-18.43494882292201,-18.676701732190114,
176,-18.615692007331038,-15.851928154286954,
177,-18.604965473802313,-10.619655276155134,
178,-18.43494882292201,-14.808377039042396,
179,-18.43494882292201,-8.447527247908466,
180,-18.26790620724112,-11.546690545927323,
181,-20.432828679398686,-9.18054195762615,
182,-20.250633509282487,-9.090276920822323,
183,-20.250633509282487,-10.407711312490058,
184,-19.937991744205544,-7.454298812748468,
185,-20.250633509282487,-8.914926957147866,
186,-20.250633509282487,-5.762632886598451,
187,-20.250633509282487,-5.057248532559135,
188,-20.432828679398686,-4.635463426902643,
189,-20.432828679398686,-6.170175095029609,
190,-19.75947073521321,-6.991925346667795,
191,-19.937991744205544,-4.513988458001263,
192,-19.470302009466955,-5.147884824136303,
193,-19.98310652189998,-5.290081205371269,
194,-19.98310652189998,-5.869600443014707,
195,-19.798876354524932,-5.762632886598451,
196,-19.798876354524932,-4.72013693104356,
197,-21.70988275987124,-1.4320961841646465,
198,-22.249023657212366,0.0,
199,-22.32865637801915,-0.9166542563852877,
200,-22.15023792835078,-4.763641690726178,
201,-21.71393508177643,1.1017061152063747,
202,-21.370622269343183,0.4696270196896474,
203,-21.202818643809668,0.4774537773095774,
204,-22.15023792835078,0.46205272143076487,
205,-21.54097591853844,0.5456575934157205,
206,-22.65523270867979,-2.181641403551466,
207,-23.498565675952097,-8.063246165697251,
208,-27.5528115767178,-25.083594006190918,
209,-28.123735383288814,-12.324727434137365,
210,-28.715077528116595,-12.127091034930103,
211,-27.91976642810862,-15.871178611457006,
212,-27.14968169778317,-11.604762356378805,
213,-26.372136823544956,-8.325650330426836,
214,-22.19545952867895,-5.233861647216432,
215,-22.356891329294296,-4.267893300290812,
216,-22.916902618446723,-4.205357001708586,
217,-21.721050801997308,-4.114909098237253,
218,-24.962789830807015,-27.5528115767178,
219,-25.542020988410155,-18.59544078275663,
220,-26.154335778312916,-26.8219812015815,
221,-28.425992243091013,-25.016893478100023,
222,-31.345214141715672,-24.22774531795417,
223,-31.26373169437743,-24.31930861118292,
224,-31.636035998627587,-25.227649467428588,
225,-32.27564431457763,-24.87415391412764,
226,-32.40667004389689,-23.442920714962284,
227,-35.29714276714762,-29.18591581611006,
228,-35.63349004298788,-30.96375653207352,
229,-37.76762129172234,-31.115332314741835,
230,-38.20405598398105,-32.005383208083494,
231,-39.11401216697174,-34.91940201245768,
232,-43.484592099977874,-36.86989764584402,
233,-44.08089521628577,-37.135975204500454,
234,-44.38394009160077,-37.836452534167634,
235,-44.69029610004116,-38.18178542834813,
236,-46.86767883943418,-39.32258333795467,
237,-47.544804379813094,-41.51067509420361,
238,-49.84400037508068,-44.26547896574518,
239,-52.20605700138327,-51.84277341263094,
240,-56.17791478250605,-53.13010235415598,
241,-67.26399511741855,-86.69813432556501,
242,-61.55707137563666,-93.46822925891715,
243,-70.14478563067895,-90.0,
244,-105.94539590092286,-109.35899417569473,
245,-107.0674048184644,-107.17590361574675,
246,-115.97439396243132,-114.64166199955834,
247,-116.17528998175993,-115.523424501068,
248,-116.18180753144325,-115.95337570236421,
249,-116.75731817187656,-115.54202098841014,
250,-117.13990592932095,-116.76750891929619,
251,-117.699472808055,-116.76750891929619,
252,-117.51989243095016,-117.57013718233216,
253,-117.89727103094764,-118.393019421383,
254,-119.58776346541863,-116.36187550561161,
255,-119.79759129082386,-116.97284343364375,
256,-119.79759129082386,-118.17859010995917,
257,-119.21924669048461,-116.76750891929619,
258,-120.37912601136834,-118.57460499009913,
259,-120.01013764031822,-118.17859010995917,
260,-121.40905155215866,-119.18591581611007,
261,-121.40905155215866,-118.79097507219203,
262,-121.18497465873838,-117.9920530445927,
263,-121.26373169437744,-119.63153667820387,
264,-121.86597769360368,-120.25643716352927,
265,-122.0989272547852,-120.48894049983093,
266,-120.88846645778372,-118.01789354645459,
267,-121.492161124727,-119.0103602626874,
268,-121.492161124727,-119.45840478666516,
269,-122.47119229084849,-120.28795299066601,
270,-122.0989272547852,-120.48894049983093,
271,-122.7086512371334,-120.06858282186246,
272,-122.33493623495765,-119.69072651201682,
273,-122.94921511659044,-119.90842732140514,
274,-122.57405713457253,-120.48894049983093,
275,-122.57405713457253,-121.75948008481281,
276,-122.81634341401261,-121.75948008481281,
277,-123.19293657840146,-121.75948008481281,
278,-123.81462337218706,-121.75948008481281,
279,-122.79088024150376,-120.71282771515887,
280,-123.69006752597979,-122.52489028779105,
281,-98.32565033042684,-115.64100582430528,
282,-86.9059419410829,-116.56505117707799,
283,-79.28687697720896,-147.52880770915152,
284,-81.02737338510362,-145.00797980144134,
285,-78.11134196037202,-135.0,
286,-79.28687697720896,-137.29061004263855,
287,-80.53767779197439,-135.0,
288,-77.79953127261922,-126.2538377374448,
289,-80.53767779197439,-130.6012946450045,
290,-80.78897345918332,-126.2538377374448,
291,-78.99645914825051,-137.12109639666144,
292,-79.28687697720896,-132.70938995736148,
293,-80.78897345918332,-139.39870535499554,
294,-80.78897345918332,-139.39870535499554,
295,-79.56252464888182,-128.29016319224309,
296,-80.3112134396332,-122.0053832080835,
297,-83.51692630710276,-119.5387822595581,
298,-86.26860300083955,-113.19859051364818,
299,-88.83086067209258,-108.12186024790135,
300,-100.4914770123316,-110.2975697722287,
301,-102.75753216087669,-110.72555886556054,
302,-108.77803322244554,-112.34064795999414,
303,-108.06047193619918,-111.39981013208224,
304,-111.31791227546155,-112.06789956241022,
305,-116.56505117707799,-115.31288380187415,
306,-117.25532837494308,-116.2586595548073,
307,-117.29957221133282,-115.64100582430528,
308,-119.5387822595581,-116.86981308749908,
309,-119.35775354279127,-116.26663835708312,
310,-118.73979529168805,-116.85442134051858,
311,-117.25532837494308,-115.68814343564736,
312,-115.94229548987168,-114.16662984298549,
313,-118.81079374297306,-111.28640511365909,
314,-131.0090869015702,-125.98067756861832,
315,-137.8271245781613,-126.96428928946521,
316,-130.55589387834732,-123.56969841837245,
317,-117.51989243095016,-114.20588504449636,
318,-115.54202098841014,-115.53743439063634,
319,-90.52085637450196,,
320,,,
321,,,
322,,,
323,,,
324,,,
325,,,
326,,,
327,,,
328,,,
329,,,
330,,,
331,,,
332,,,
333,,,
334,,,
335,,,
336,,-35.83765295427829,
337,45.0,,
338,,22.087171603228345,
339,-95.10216525235819,-39.52263127117112,
340,-101.6047623563788,-63.16595652922554,
341,-109.02560603756869,-58.543176642444756,
342,-113.71359488634091,-67.29715787678718,
343,-102.36906152592552,-63.67170689482912,
344,-137.72631099390625,-62.468023251277714,
345,-147.35535986508353,-50.12316553712815,
346,-171.08507304285214,-40.97173633351486,
347,-171.08507304285214,-39.17365797044423,
348,-173.92754359279232,-41.042446885872145,
349,161.99583839408663,-40.97173633351486,
350,156.97450799147197,-46.877877447285364,
351,159.77514056883192,-47.009553813021135,
352,152.35402463626133,-55.885527054658745,
353,149.3002774491856,-88.51213247117222,
354,161.565051177078,-50.355825042855194,
355,171.63411387596742,-50.042451069170916,
356,176.30861401354872,-71.56505117707799,
357,177.7974018382342,-49.4748965062461,
358,133.1523897340054,-47.72631099390627,
359,180.0,-48.48327146899767,
360,-174.5596679689945,-52.62419250445184,
361,-169.5085229876684,-52.507346666949665,
362,-162.75854060106005,-55.175510843043206,
363,-162.25532837494308,-77.63750758428569,
364,-166.8659776936037,-56.673710312884786,
365,-164.74488129694222,-66.10483858492964,
366,-174.64417495714483,-51.34019174590991,
367,-174.64417495714483,-51.34019174590991,
368,-172.30394827798344,-42.61405596961119,
369,153.434948822922,-48.416588191771346,
370,178.09084756700364,-53.36588612403259,
371,161.565051177078,-47.03091423685311,
372,167.90524292298792,-47.802451519866786,
373,160.9065079995144,-45.80692945510238,
374,173.29016319224309,-54.53663575845941,
375,-173.51692630710275,-54.904183212973884,
376,-174.92039213998544,-58.212746878335246,
377,-172.72499504211075,-69.954750574579,
378,-174.05313694602648,-59.79676224505735,
379,-174.98688624496418,-105.81919394750015,
380,-172.61395684873276,-104.93141717813755,
381,-165.6997225508144,-105.94539590092286,
382,-165.6997225508144,-102.63336193527502,
383,-169.38034472384487,-110.95577673063218,
384,-168.11134196037204,-113.19859051364818,
385,-168.6900675259798,-102.65255650055798,
386,-174.8055710922652,-79.15969454566944,
387,-172.99873244250466,-71.56505117707799,
388,-173.08877288097534,-61.63095370672142,
389,-174.12260739335687,-90.0,
390,-172.8749836510982,-108.75865034784223,
391,-171.38435181583588,-110.07152586453873,
392,-174.20720350496785,-109.6538240580533,
393,-173.1909498203866,-115.25316339457389,
394,-168.8708107103888,-102.0947570770121,
395,-161.96571443287016,-119.05460409907714,
396,-164.47588900324575,-124.9194020124577,
397,-167.59258147259928,-111.4767909795404,
398,-172.18470645323313,-99.01932243138168,
399,-174.05313694602648,-83.23382517744695,
400,-168.11134196037204,-75.96375653207353,
401,-162.75854060106005,-80.78897345918332,
402,-160.20112364547506,-90.0,
403,-156.50143432404792,-78.40782458970894,
404,-157.06789956241022,-66.10483858492964,
405,-136.7357045889284,-56.47552675142305,
406,-126.46923439005187,-61.65430637692334,
407,-129.28940686250036,-63.14557865948141,
408,-128.6598082540901,-64.56378361958265,
409,-130.6012946450045,-67.38013505195957,
410,-121.60750224624891,-68.08513367280827,
411,-97.1250163489018,-57.87500155961248,
412,-102.52880770915151,-54.137151014138716,
413,-53.13010235415598,-57.399666426309764,
414,-30.96375653207352,-59.331073350285074,
415,-35.53767779197438,-58.650419134756994,
416,5.710593137499642,-59.314826910404875,
417,-27.407575437818405,-64.4400348281762,
418,-27.64597536373868,-62.927919762007235,
419,-34.5085229876684,-59.331073350285074,
420,-46.8476102659946,-59.82647997035567,
421,-55.00797980144134,-46.27303002005671,
422,-58.240519915187214,-49.398705354995535,
423,-51.70983680775693,-50.84456587738687,
424,-64.29004621918874,-54.60520415501294,
425,-63.43494882292201,-48.416588191771346,
426,-63.43494882292201,-47.152962789100464,
427,-71.56505117707799,-47.09015915371069,
428,-59.03624346792648,-54.59313426273034,
429,-70.25316339457389,-48.97249594075066,
430,-63.43494882292201,-52.46519085612143,
431,-67.5205656028969,-52.56839702158943,
432,-59.03624346792648,-54.65183346680425,
433,-59.03624346792648,-56.309932474020215,
434,-40.23635830927382,-56.309932474020215,
435,-38.08877288097532,-53.660603670829786,
436,-35.53767779197438,-54.833563964207116,
437,-36.32682595212023,-56.75293225066415,
438,-36.25383773744479,-53.440365275506636,
439,-36.86989764584402,-53.02723751043195,
440,-35.67640822186198,-53.857958763628346,
441,-39.03551289874689,-55.27100372047908,
442,-53.13010235415598,-51.1886159632416,
443,-47.862405226111754,-50.4575534851046,
444,-57.264773727892404,-53.334364517357834,
445,-70.11483488614456,-48.72405797274829,
446,-73.81079374297306,-46.41442321140215,
447,-91.63657704161672,-33.5412476541228,
448,-94.89909245378777,-37.568592028827496,
449,-103.67130713219584,-37.116860683270275,
450,-104.74356283647074,-29.666715206946453,
451,-109.5731258304102,-32.845058302777765,
452,-118.07248693585296,-39.57940471623763,
453,-121.32869286780416,-37.92646232503863,
454,-136.16913932790743,-33.690067525979785,
455,-138.01278750418336,-34.00749241973228,
456,-140.5993393365206,-34.59228868750995,
457,-146.02345596374315,-32.061943682813556,
458,-145.5816355209438,-28.482185747040432,
459,-145.68491240000273,-40.72053646975478,
460,-158.02549200852803,-35.33133133891637,
461,-155.6954507340633,-39.20720350496784,
462,-156.1247191460725,-36.98876838714398,
463,-156.91486632719173,-34.845733419799735,
464,-156.21796957677864,-35.33133133891637,
465,-154.50244850666223,-35.98067756861832,
466,-155.55604521958347,-45.48969559312922,
467,-153.79988515865267,-58.902687114220555,
468,-156.80140948635182,-88.21008939175394,
469,-157.75097634278765,-150.94539590092285,
470,-162.6459753637387,164.87599269168942,
471,-160.70995378081125,,
472,-161.565051177078,,
473,-160.70995378081125,,
474,-161.02959219151347,-42.27368900609374,
475,-162.34987578006988,,
476,-160.8209919741893,,
477,-164.2679952148927,,
478,-163.00917670801385,,
479,-169.4264765814391,,
480,-171.57303097851934,,
481,-178.40885972880542,,
482,-177.1014232007183,-68.68208772453845,
483,175.8653286262636,-74.98163936884933,
484,168.6900675259798,,
485,176.5526131481348,,
486,171.06940989958102,,
487,-178.66778014613035,,
488,-175.08343399398998,-141.0958615445958,
489,179.40934278535332,,
490,178.76802259736027,-116.16156644201925,
491,176.82016988013575,-94.01417569541103,
492,178.6521127198014,-77.69198418257209,
493,-167.8686789333675,,
494,-151.6309537067214,-113.09682191816084,
495,-146.30993247402023,-128.9041384554042,
496,-128.23382517744693,-104.58891873287463,
497,-134.37040139158972,-89.31793960682735,
498,-119.44542872992561,-43.745548377318464,
499,7.125016348901798,-30.650667957052864,
500,,-33.28752768891249,
501,,,
502,,,
503,,,
504,,,
505,,,
506,,,
507,,,
508,,,
509,,,
510,,,
511,,,
512,,,
513,,,
514,,,
515,,,
516,,,
517,,,
518,,,
519,,,
520,,,
521,,,
522,,,
523,,,
524,,,
525,,,
526,,,
527,,,
528,,,
529,,,
530,,,
531,,,
532,,,
533,,,
534,,,
535,,,
536,,,
537,,,
538,,,
539,,,
540,,,
541,,,
542,,,
543,,,
544,,,
