Time_MP,Camera_1_MP,Camera_2_MP,Camera_3_MP,Time_RTM,Camera_1_RTM,Camera_2_RTM,Camera_3_RTM,Time_Frei,Camera_1_Frei,Camera_2_Frei,Camera_3_Frei
0.0014810562133789062,0.0,,,0.0005431175231933594,0.0,,,0.00044417381286621094,0.0,0.0,0.0
0.006672859191894531,0.0,,,0.00498652458190918,0.0,,,0.005269527435302734,0.0,0.0,0.0
0.011883020401000977,0.0,,,0.15900444984436035,-0.08581999858137124,,-178.8821754176139,0.05901670455932617,0.0,0.0,0.0
0.01625823974609375,0.0,,,0.16444659233093262,-0.08581999858137124,,-178.8821754176139,0.06488800048828125,0.0,0.0,0.0
0.02091073989868164,0.0,,,0.16833972930908203,-0.08581999858137124,,-178.8821754176139,0.06939530372619629,0.0,0.0,0.0
0.027215957641601562,0.0,,,0.1739826202392578,-0.08581999858137124,,-178.8821754176139,0.0749201774597168,0.0,0.0,0.0
0.03313851356506348,-12.398435385190112,,,0.17998266220092773,-0.08581999858137124,,-178.8821754176139,0.08142781257629395,0.0,0.0,0.0
0.0390775203704834,-12.398435385190112,,,0.1855316162109375,-0.08581999858137124,,-178.8821754176139,0.08681821823120117,0.0,0.0,0.0
0.04427909851074219,-12.398435385190112,,,0.19104266166687012,-0.08581999858137124,,-178.8821754176139,0.09317922592163086,0.0,0.0,0.0
0.048683881759643555,-12.398435385190112,,,0.1960892677307129,-0.08581999858137124,,-178.8821754176139,0.09896230697631836,0.0,0.0,0.0
0.05378079414367676,-12.398435385190112,,,0.2010941505432129,-0.08581999858137124,,-178.8821754176139,0.10456967353820801,0.0,0.0,0.0
0.05831408500671387,-12.398435385190112,,,0.20711398124694824,-0.08581999858137124,,-178.8821754176139,0.11126327514648438,0.0,0.0,0.0
0.06286406517028809,-12.398435385190112,,,0.21212029457092285,-0.08581999858137124,,-178.8821754176139,0.1202390193939209,0.0,0.0,0.0
0.06797170639038086,-2.6201514047060357,,,0.21763825416564941,-0.08581999858137124,,-178.8821754176139,0.12868118286132812,6.847201263581368,0.0,352.5508572387244
0.07249879837036133,-2.6201514047060357,,,0.22364020347595215,-0.9529426252318558,,-178.8821754176139,0.1343977451324463,6.847201263581368,0.0,352.5508572387244
0.07755351066589355,-2.6201514047060357,,,0.2291584014892578,-0.9529426252318558,,-178.8821754176139,0.14103484153747559,6.847201263581368,0.0,352.5508572387244
0.08286356925964355,-2.6201514047060357,,,0.2346663475036621,-0.9529426252318558,,-178.8821754176139,0.14706063270568848,6.847201263581368,0.0,352.5508572387244
0.08775115013122559,-2.6201514047060357,,,0.24115777015686035,-0.9529426252318558,,-169.9720912325752,0.16831707954406738,6.847201263581368,0.0,352.5508572387244
0.09283614158630371,-2.6201514047060357,,,0.319979190826416,-0.9529426252318558,,-169.9720912325752,0.21044921875,6.847201263581368,0.0,352.5508572387244
0.09731197357177734,-9.715747193438347,,,0.3378157615661621,-0.9529426252318558,,-169.9720912325752,0.223679780960083,6.847201263581368,0.0,352.5508572387244
0.10208439826965332,-9.715747193438347,,,0.34383273124694824,-0.9529426252318558,,-169.9720912325752,0.22837257385253906,6.847201263581368,0.0,352.5508572387244
0.10624098777770996,-9.715747193438347,,,0.34850168228149414,-0.9529426252318558,,-169.9720912325752,0.23591876029968262,6.847201263581368,0.0,352.5508572387244
0.11133670806884766,-9.715747193438347,,,0.35378551483154297,-0.9529426252318558,,-169.9720912325752,0.24143052101135254,6.847201263581368,0.0,352.5508572387244
0.11621308326721191,-9.715747193438347,,,0.35904741287231445,-0.9529426252318558,,-169.9720912325752,0.24675202369689941,6.847201263581368,0.0,352.5508572387244
0.12077116966247559,-9.715747193438347,,,0.3638880252838135,-0.9529426252318558,,-169.9720912325752,0.25252509117126465,6.847201263581368,0.0,352.5508572387244
0.1264190673828125,-20.181945955910066,,,0.3693866729736328,-0.9529426252318558,,-169.9720912325752,0.25777602195739746,6.847201263581368,0.0,352.5508572387244
0.13075757026672363,-20.181945955910066,,,0.3785088062286377,-0.9529426252318558,,-169.9720912325752,0.2643463611602783,6.847201263581368,0.0,352.5508572387244
0.13669276237487793,-20.181945955910066,,,0.3837625980377197,-0.9529426252318558,,90.0,0.2693648338317871,6.847201263581368,0.0,352.5508572387244
0.15912127494812012,-20.181945955910066,,,0.39214062690734863,-0.9529426252318558,,90.0,0.27436208724975586,6.847201263581368,0.0,352.5508572387244
0.16788935661315918,-25.004244071926763,,,0.39795732498168945,,,90.0,0.27900171279907227,6.847201263581368,0.0,352.5508572387244
0.20835614204406738,-21.697579570846017,,,0.4045288562774658,,,90.0,0.2846667766571045,6.847201263581368,0.0,352.5508572387244
0.21395087242126465,-21.697579570846017,,,0.4100320339202881,,,90.0,0.2897186279296875,6.847201263581368,0.0,352.5508572387244
0.21857070922851562,-21.697579570846017,,,0.4150404930114746,,,90.0,0.2948305606842041,6.847201263581368,0.0,352.5508572387244
0.22315597534179688,-21.697579570846017,,,0.4195556640625,,,90.0,0.3003509044647217,6.847201263581368,0.0,352.5508572387244
0.22852015495300293,-12.78010290825128,,,0.42407846450805664,,,90.0,0.30550193786621094,6.847201263581368,0.0,352.5508572387244
0.23389601707458496,-12.78010290825128,,,0.43715906143188477,,,90.0,0.3106496334075928,6.847201263581368,0.0,352.5508572387244
